Gene	IID	a	b	c	reps	outlier
PRY	31	2.56	2.53	2.55	3	2.53
RBMY	31	11.15923567	11.08280255	11.15923567	3	11.08280255
HSFY	32	1.602764423	2.163461538	2.055288462	3	1.602764423
RBMY	32	6.418269231	8.329326923	8.058894231	3	6.418269231
BPY	32	1.739783654	2.109375	2.091346154	3	1.739783654
TSPY	32	24.42908654	26.68269231	26.41225962	3	24.42908654
VCY	32	2.298994975	2.449748744	2.468592965	3	2.298994975
CDY	32	2.956730769	3.100961538	3.118990385	3	2.956730769
DAZ	32	2.3	2.2	2.32	3	2.2
XKRY	32	1.911057692	1.838942308	1.875	3	1.911057692
PRY	32	2.17	2.24	2.24	3	2.17
DAZ	33	0.75	2.32	2.55	3	0.75
PRY	33	1.81	2.32	2.28	3	1.81
BPY	33	0.94	1.020596591	1.103693182	3	1.103693182
CDY	33	3.259943182	2.855113636	3.217329545	3	2.855113636
HSFY	33	1.853693182	1.960227273	2.045454545	3	1.853693182
XKRY	33	1.875	1.853693182	1.736505682	3	1.736505682
RBMY	33	7.585227273	7.947443182	NA	2	NA
VCY	33	2.34375	2.4375	2.484375	3	2.34375
TSPY	33	28.78551136	29.38210227	29.61647727	3	28.78551136
CDY	34	3.083916084	4.083916084	4.258741259	3	3.083916084
DAZ	34	3.85	4.22	4.6	3	4.6
PRY	34	2.24	2.23	1.95	3	1.95
HSFY	34	1.811188811	1.951048951	2.013986014	3	1.811188811
RBMY	34	10	9.58041958	10.55944056	3	10.55944056
XKRY	34	1.85	1.69	1.8	3	1.69
VCY	34	2.352517986	2.54676259	2.431654676	3	2.54676259
TSPY	34	29.3	28.95	30.49	3	30.49
BPY	34	2.99	2.98	3.1	3	3.1
XKRY	35	1.77	2.21	2.24	3	1.77
VCY	35	2.120049505	2.487623762	2.428217822	3	2.120049505
CDY	35	4.07	3.66	3.62	3	4.07
TSPY	35	29.51	27.14	28.79	3	27.14
PRY	35	1.96	1.81	1.86	3	1.96
DAZ	35	3.71	NA	3.9	2	NA
RBMY	35	10.33	10.89	10.78	3	10.33
HSFY	35	2	2.05	1.95	3	1.95
BPY	35	3.625187406	3.607196402	3.71964018	3	3.71964018
VCY	36	2.07	2.15	2.01	3	2.15
HSFY	36	2.21	2.08	2.18	3	2.08
DAZ	36	3.48	3.67	3.67	3	3.48
XKRY	36	2.3	2.2	2.19	3	2.3
PRY	36	1.96	1.96	1.87	3	1.87
CDY	36	4.3	4.08	4.2	3	4.08
TSPY	36	29.32	28.63	29.41	3	28.63
RBMY	36	10.01	10.13	10.23	3	10.01
BPY	36	3.37	3.39	3.39	3	3.37
VCY	37	1.708367181	1.847278635	1.681559708	3	1.847278635
DAZ	37	3.34	3.1	3.34	3	3.1
HSFY	37	2.187372709	2.288187373	2.343177189	3	2.187372709
PRY	37	1.54	1.58	1.61	3	1.54
XKRY	37	2.144602851	2.202647658	NA	2	NA
CDY	37	4.49	4.399185336	NA	2	NA
BPY	37	2.78	2.81	2.84	3	2.78
TSPY	37	31.7413442	32.23014257	32.29124236	3	31.7413442
RBMY	37	10.57026477	10.44806517	10.38696538	3	10.57026477
CDY	38	4.112149533	3.481308411	4.252336449	3	3.481308411
HSFY	38	1.560747664	1.738317757	1.675233645	3	1.560747664
XKRY	38	1.873831776	2.079439252	2	3	1.873831776
PRY	38	2.11	2.23	2.02	3	2.23
RBMY	38	13.36448598	14.57943925	14.46261682	3	13.36448598
BPY	38	2.97	2.85046729	3.130841121	3	3.130841121
TSPY	38	23.06074766	22.19626168	24.22897196	3	24.22897196
VCY	38	2.365771812	2.516778523	2.466442953	3	2.365771812
DAZ	38	4.1	4.13	4.2	3	4.2
XKRY	39	2.4	2.19	2.1	3	2.4
PRY	39	2.4	2.14	2.19	3	2.4
HSFY	39	2.13	2.28	2.37	3	2.13
CDY	39	4.58	4.95	4.91	3	4.58
DAZ	39	4.69	4.61	4.96	3	4.96
BPY	39	3.7	3.52	3.55	3	3.7
TSPY	39	39	39.99	40.56	3	39
RBMY	39	10.72	10.68	10.89	3	10.89
VCY	39	2.720472441	NA	2.736220472	2	NA
CDY	40	2.152650823	3.139853748	2.947897623	3	2.152650823
RBMY	40	7.554844607	8.542047532	8.84369287	3	7.554844607
PRY	40	2.04	2.15	2.23	3	2.04
DAZ	40	4	4.05	4.17	3	4.17
HSFY	40	1.782449726	1.823583181	1.851005484	3	1.782449726
TSPY	40	33.48	32.36	33.24	3	32.36
BPY	40	2.69	2.65	2.65	3	2.69
XKRY	40	1.76	1.78	1.78	3	1.76
VCY	40	2.32096184	2.336644015	2.32096184	3	2.336644015
BPY	41	2.56	3.56	3.41	3	2.56
HSFY	41	2.337662338	2.103896104	1.882305195	3	2.337662338
CDY	41	3.993506494	4.310064935	4.577922078	3	3.993506494
RBMY	41	12.61363636	13.49025974	13.90422078	3	12.61363636
TSPY	41	28.17	28.66	26.86	3	26.86
XKRY	41	2.14	2.23	2.1	3	2.23
VCY	41	1.841030195	1.912966252	1.859680284	3	1.912966252
DAZ	41	4.85	4.93	4.82	3	4.93
PRY	41	2.26	2.26	2.28	3	2.28
HSFY	42	0.989730424	1.835686778	1.912708601	3	0.989730424
BPY	42	1.39	1.694480103	1.951219512	3	1.39
CDY	42	2.503209243	3.350449294	3.376123235	3	2.503209243
RBMY	42	6.893453145	7.766367137	8.241335045	3	6.893453145
VCY	42	2.066805846	2.051148225	1.957202505	3	1.957202505
PRY	42	1.94	2.02	2.05	3	1.94
TSPY	42	25.53273427	26.23876765	26.31578947	3	25.53273427
DAZ	42	4.81	4.76	4.87	3	4.87
XKRY	42	1.540436457	1.527599487	1.527599487	3	1.540436457
PRY	43	1.36	1.96	1.8	3	1.36
CDY	43	2.637362637	3.069344449	3.262599469	3	2.637362637
VCY	43	1.888235294	2.144117647	2.294117647	3	1.888235294
BPY	43	2.21	1.98938992	2.353164077	3	1.98938992
RBMY	43	6.513830997	7.548313755	7.411898446	3	6.513830997
TSPY	43	27.37400531	29.78400909	28.98825313	3	27.37400531
HSFY	43	1.398256915	1.386888973	1.477832512	3	1.477832512
XKRY	43	1.51193634	1.568776052	1.614247821	3	1.51193634
DAZ	43	2.46	2.58	2.55	3	2.46
HSFY	44	2.268292683	2.067073171	2.323170732	3	2.067073171
DAZ	44	3.9	4.25	4.31	3	3.9
XKRY	44	1.73	1.85	1.74	3	1.85
RBMY	44	9.713414634	9.420731707	9.256097561	3	9.713414634
BPY	44	3.49	3.55	3.64	3	3.64
VCY	44	2.333751568	2.314930991	2.277289837	3	2.277289837
PRY	44	2.03	2.07	2.06	3	2.03
CDY	44	4.207317073	4.280487805	4.280487805	3	4.207317073
TSPY	44	37.61	37.79	37.94	3	37.61
CDY	45	4.135135135	5.402948403	5.012285012	3	4.135135135
VCY	45	2.291566265	2.840963855	2.906024096	3	2.291566265
HSFY	45	2.65	2.27	2.46	3	2.65
XKRY	45	1.901719902	1.857493857	2.115479115	3	2.115479115
BPY	45	6.036855037	6.412776413	6.633906634	3	6.036855037
PRY	45	2.15	2.18	2.33	3	2.33
RBMY	45	9.877149877	9.582309582	9.877149877	3	9.582309582
TSPY	45	35.49	35.37	36.34	3	36.34
DAZ	45	8.46	8.46	8.31	3	8.31
PRY	46	0.76	2.33	2.99	3	0.76
VCY	46	0.896853147	2.648601399	2.727272727	3	0.896853147
